target_x,target_y,theta,motor_left,motor_right
3.1365456581115723,-0.06556510925292969,-0.004805889446288347,2,2
3.1008377075195313,-0.03517898917198181,-0.014819209463894367,2,2
3.059640407562256,-0.035633210092782974,-0.01480942964553833,2,2
3.0185348987579346,-0.037061795592308044,-0.014438760466873646,2,2
2.977461099624634,-0.03997805714607239,-0.013503868132829666,2,2
2.9365100860595703,-0.04320630803704262,-0.01240237895399332,2,2
2.8956141471862793,-0.045799560844898224,-0.011473398655653,2,2
2.8545470237731934,-0.04699977859854698,-0.011053246445953846,2,2
2.813304901123047,-0.04724198579788208,-0.010957078076899052,2,2
2.77201509475708,-0.046235185116529465,-0.01134428195655346,2,2
2.7306575775146484,-0.044223129749298096,-0.012165947817265987,2,2
2.6892378330230713,-0.042009346187114716,-0.013115477748215199,2,2
2.6478233337402344,-0.040010035037994385,-0.014028511010110378,2,2
2.606473684310913,-0.038834840059280396,-0.014666734263300896,2,2
2.565190553665161,-0.03880075737833977,-0.01486247405409813,2,2
2.524106025695801,-0.03974263370037079,-0.014657985419034958,2,2
2.482954502105713,-0.041454363614320755,-0.014044313691556454,2,2
2.44189453125,-0.04413534328341484,-0.012984802946448326,2,2
2.4009931087493896,-0.04652657359838486,-0.011951387859880924,2,2
2.3600082397460938,-0.048075009137392044,-0.011293675750494003,2,2
2.3189313411712646,-0.0478677861392498,-0.011383047327399254,2,2
2.27772855758667,-0.04747617617249489,-0.01157180592417717,2,2
2.2364604473114014,-0.04633640497922897,-0.012152726761996746,2,2
2.1951029300689697,-0.04463069885969162,-0.013049080967903137,2,2
2.153663158416748,-0.0431164987385273,-0.013931664638221264,2,2
2.1123130321502686,-0.041912324726581573,-0.014726248569786549,2,2
2.070974111557007,-0.04147902503609657,-0.015161540359258652,2,2
2.029754638671875,-0.04172523692250252,-0.01527290791273117,2,2
1.9885993003845215,-0.04286013916134834,-0.01487022265791893,2,2
1.9474331140518188,-0.04469429701566696,-0.014007029123604298,2,2
1.9064676761627197,-0.04669388756155968,-0.012958052568137646,2,2
1.8655749559402466,-0.048188675194978714,-0.012120695784687996,2,2
1.8245234489440918,-0.049116574227809906,-0.011613664217293262,2,2
1.7833789587020874,-0.04935319721698761,-0.011468266136944294,2,2
1.7421875,-0.04873119294643402,-0.011889953166246414,2,2
1.7008296251296997,-0.04756738990545273,-0.012669133953750134,2,2
1.659447193145752,-0.04647804796695709,-0.013517362996935844,2,2
1.6180168390274048,-0.04541420936584473,-0.01444150134921074,2,2
1.576667070388794,-0.044876281172037125,-0.01509158592671156,2,2
1.5353667736053467,-0.04478232190012932,-0.015477839857339859,2,2
1.494248390197754,-0.04550103470683098,-0.015302392654120922,2,2
1.4530515670776367,-0.046493686735630035,-0.01476997323334217,2,2
1.411987066268921,-0.0478760227560997,-0.01385087426751852,2,2
1.3710273504257202,-0.04916160926222801,-0.012895511463284492,2,2
1.3300423622131348,-0.05010206997394562,-0.012193102389574051,2,2
1.288954734802246,-0.05043916776776314,-0.011910571716725826,2,2
1.2477883100509644,-0.05007503181695938,-0.012236764654517174,2,2
1.2064443826675415,-0.04955970495939255,-0.012779531069099903,2,2
1.165031909942627,-0.048690468072891235,-0.013740405440330505,2,2
1.1236255168914795,-0.04806223511695862,-0.01461926568299532,2,2
1.0822416543960571,-0.047578275203704834,-0.015489235520362854,2,2
1.0409457683563232,-0.047267846763134,-0.016295187175273895,2,2
0.999768078327179,-0.04739967733621597,-0.01667335256934166,2,2
0.958651065826416,-0.04793783649802208,-0.016512742266058922,2,2
0.9175023436546326,-0.048754218965768814,-0.01582753099501133,2,2
0.8764551877975464,-0.04970378801226616,-0.014779522083699703,2,2
0.8355956077575684,-0.05042613297700882,-0.01382923498749733,2,2
0.7945898771286011,-0.05087932571768761,-0.013277607969939709,2,2
0.7534985542297363,-0.05089587718248367,-0.013317418284714222,2,2
0.7123113870620728,-0.05073855072259903,-0.013626941479742527,2,2
0.6709624528884888,-0.0504426583647728,-0.01430260855704546,2,2
0.6295883655548096,-0.05004415288567543,-0.015468613244593143,2,2
0.5881674289703369,-0.049946803599596024,-0.016301555559039116,2,2
0.5468263626098633,-0.049964990466833115,-0.017183037474751472,2,2
0.5056015253067017,-0.05026865750551224,-0.017697930335998535,2,2
0.464497447013855,-0.05074254795908928,-0.017661308869719505,2,2
0.4232926368713379,-0.05121730640530586,-0.017196103930473328,2,2
0.3821675777435303,-0.05169735848903656,-0.016229258850216866,2,2
0.3412327766418457,-0.05201099440455437,-0.015198851004242897,2,2
0.30030715465545654,-0.05222983658313751,-0.014287869445979595,2,2
0.25925958156585693,-0.052269794046878815,-0.013990749605000019,2,2
0.20229780673980713,1.9267082214355469,-0.014064044691622257,2,0
0.31509554386138916,1.9193147420883179,0.05520816519856453,2,0
0.4328728914260864,1.9034603834152222,0.12726382911205292,2,0
0.5487853288650513,1.8792519569396973,0.19907735288143158,2,0
0.6624106168746948,1.8468668460845947,0.27069196105003357,2,0
0.7730456590652466,1.8065881729125977,0.3421022593975067,2,0
0.880767822265625,1.758373737335205,0.4136784076690674,2,0
0.9848109483718872,1.7025761604309082,0.48521068692207336,2,0
1.0846058130264282,1.6394593715667725,0.5567988753318787,2,0
1.179871678352356,1.5691728591918945,0.6285723447799683,2,0
1.26951265335083,1.4925734996795654,0.7000583410263062,2,0
1.353091835975647,1.4099915027618408,0.771353542804718,2,0
1.4299967288970947,1.3224694728851318,0.8420317769050598,2,0
1.5019245147705078,1.2279751300811768,0.9140120148658752,2,0
1.566851019859314,1.128543734550476,0.9859629273414612,2,0
1.624459981918335,1.0246542692184448,1.0579341650009155,2,0
1.6745741367340088,0.9166396260261536,1.1300619840621948,2,0
1.7165522575378418,0.8058915138244629,1.2018022537231445,2,0
1.7505497932434082,0.6920682191848755,1.2737746238708496,2,0
1.7763053178787231,0.5761593580245972,1.3457051515579224,2,0
1.7936525344848633,0.45871400833129883,1.4176100492477417,2,0
1.802487850189209,0.34133481979370117,1.488916039466858,2,0
1.8029162883758545,0.2239769697189331,1.5599967241287231,2,0
